crdc_id,year,fips,ncessch,leaid,race,sex,disability,lep,students_AP_exam_none,students_AP_pass_none,students_AP_exam_oneormore,students_AP_pass_oneormore,students_AP_exam_all,students_AP_pass_all
060001109064,2015,6,060001109064,600011,99,99,99,99,,,,,,
060001109065,2015,6,060001109065,600011,99,99,99,99,,,,,,
060001109066,2015,6,060001109066,600011,99,99,99,99,,,,,,
060001109068,2015,6,060001109068,600011,99,99,99,99,,,,,,
060001111292,2015,6,060001111292,600011,99,99,99,99,,,,,,
060001112763,2015,6,060001112763,600011,99,99,99,99,,,,,,
060001403904,2015,6,060001403904,600014,99,99,99,99,,,,,,
060001405093,2015,6,060001405093,600014,99,99,99,99,0.0,,0.0,,,
060001407287,2015,6,060001407287,600014,99,99,99,99,,,,,,
060001407295,2015,6,060001407295,600014,99,99,99,99,,,,,,
060001408296,2015,6,060001408296,600014,99,99,99,99,,,,,,
060001409072,2015,6,060001409072,600014,99,99,99,99,0.0,,0.0,,,
060001409073,2015,6,060001409073,600014,99,99,99,99,,,,,,
060001409074,2015,6,060001409074,600014,99,99,99,99,,,,,,
060001409075,2015,6,060001409075,600014,99,99,99,99,,,,,,
060001409076,2015,6,060001409076,600014,99,99,99,99,,,,,,
060001409077,2015,6,060001409077,600014,99,99,99,99,,,,,,
060001409078,2015,6,060001409078,600014,99,99,99,99,,,,,,
060001409079,2015,6,060001409079,600014,99,99,99,99,,,,,,
060001409080,2015,6,060001409080,600014,99,99,99,99,,,,,,
060001409081,2015,6,060001409081,600014,99,99,99,99,,,,,,
060001409082,2015,6,060001409082,600014,99,99,99,99,,,,,,
060001409476,2015,6,060001409476,600014,99,99,99,99,,,,,,
060001409477,2015,6,060001409477,600014,99,99,99,99,,,,,,
060001409676,2015,6,060001409676,600014,99,99,99,99,,,,,,
060001411118,2015,6,060001411118,600014,99,99,99,99,,,,,,
060001411119,2015,6,060001411119,600014,99,99,99,99,,,,,,
060001411746,2015,6,060001411746,600014,99,99,99,99,,,,,,
060001411899,2015,6,060001411899,600014,99,99,99,99,,,,,,
060001412100,2015,6,060001412100,600014,99,99,99,99,,,,,,
060001412103,2015,6,060001412103,600014,99,99,99,99,,,,,,
060001412171,2015,6,060001412171,600014,99,99,99,99,,,,,,
060001412333,2015,6,060001412333,600014,99,99,99,99,,,,,,
060001412375,2015,6,060001412375,600014,99,99,99,99,,,,,,
060001412415,2015,6,060001412415,600014,99,99,99,99,,,,,,
060001412417,2015,6,060001412417,600014,99,99,99,99,0.0,,0.0,,,
060001809106,2015,6,060001809106,600018,99,99,99,99,,,,,,
060001809107,2015,6,060001809107,600018,99,99,99,99,,,,,,
060001809108,2015,6,060001809108,600018,99,99,99,99,,,,,,
060001809109,2015,6,060001809109,600018,99,99,99,99,,,,,,
060002803647,2015,6,060002803647,600028,99,99,99,99,,,,,,
060002803648,2015,6,060002803648,600028,99,99,99,99,,,,,,
060002805012,2015,6,060002805012,600028,99,99,99,99,,,,,,
060002806276,2015,6,060002806276,600028,99,99,99,99,,,,,,
060002807222,2015,6,060002807222,600028,99,99,99,99,392.0,255.0,685.0,420.0,,
060002807223,2015,6,060002807223,600028,99,99,99,99,,,,,,
060002808270,2015,6,060002808270,600028,99,99,99,99,,,,,,
060002808271,2015,6,060002808271,600028,99,99,99,99,,,,,,
060002808272,2015,6,060002808272,600028,99,99,99,99,,,,,,
060002809499,2015,6,060002809499,600028,99,99,99,99,284.0,201.0,572.0,364.0,,
060002809500,2015,6,060002809500,600028,99,99,99,99,,,,,,
060002809501,2015,6,060002809501,600028,99,99,99,99,,,,,,
060002809502,2015,6,060002809502,600028,99,99,99,99,,,,,,
060002809503,2015,6,060002809503,600028,99,99,99,99,,,,,,
060002809505,2015,6,060002809505,600028,99,99,99,99,,,,,,
060002809506,2015,6,060002809506,600028,99,99,99,99,,,,,,
060002809684,2015,6,060002809684,600028,99,99,99,99,,,,,,
060002810282,2015,6,060002810282,600028,99,99,99,99,,,,,,
060002810353,2015,6,060002810353,600028,99,99,99,99,,,,,,
060002810589,2015,6,060002810589,600028,99,99,99,99,8.0,,4.0,,,
060002811038,2015,6,060002811038,600028,99,99,99,99,518.0,339.0,1127.0,775.0,,
060002811039,2015,6,060002811039,600028,99,99,99,99,,,,,,
060002811040,2015,6,060002811040,600028,99,99,99,99,,,,,,
060002811041,2015,6,060002811041,600028,99,99,99,99,,,,,,
060002811042,2015,6,060002811042,600028,99,99,99,99,,,,,,
060002811043,2015,6,060002811043,600028,99,99,99,99,,,,,,
060002811170,2015,6,060002811170,600028,99,99,99,99,,,,,,
060002811187,2015,6,060002811187,600028,99,99,99,99,,,,,,
060002811838,2015,6,060002811838,600028,99,99,99,99,,,,,,
060005201475,2015,6,060005201475,600052,99,99,99,99,,,,,,
060005201476,2015,6,060005201476,600052,99,99,99,99,,,,,,
060005201477,2015,6,060005201477,600052,99,99,99,99,0.0,,0.0,,,
060005201479,2015,6,060005201479,600052,99,99,99,99,,,,,,
060005201481,2015,6,060005201481,600052,99,99,99,99,,,,,,
060005201484,2015,6,060005201484,600052,99,99,99,99,,,,,,
060005201487,2015,6,060005201487,600052,99,99,99,99,,,,,,
060005213158,2015,6,060005213158,600052,99,99,99,99,,,,,,
060006807312,2015,6,060006807312,600068,99,99,99,99,,,,,,
060006808144,2015,6,060006808144,600068,99,99,99,99,,,,,,
060006810542,2015,6,060006810542,600068,99,99,99,99,62.0,40.0,70.0,27.0,,
060006810543,2015,6,060006810543,600068,99,99,99,99,,,,,,
060006811680,2015,6,060006811680,600068,99,99,99,99,,,,,,
060006811681,2015,6,060006811681,600068,99,99,99,99,,,,,,
060006811682,2015,6,060006811682,600068,99,99,99,99,,,,,,
060006811949,2015,6,060006811949,600068,99,99,99,99,,,,,,
060006812658,2015,6,060006812658,600068,99,99,99,99,,,,,,
060015811503,2015,6,060015811503,600158,99,99,99,99,172.0,,350.0,338.0,,
060015811504,2015,6,060015811504,600158,99,99,99,99,,,,,,
060015811505,2015,6,060015811505,600158,99,99,99,99,575.0,,0.0,,,
060015811506,2015,6,060015811506,600158,99,99,99,99,,,,,,
060015811508,2015,6,060015811508,600158,99,99,99,99,,,,,,
060015811509,2015,6,060015811509,600158,99,99,99,99,,,,,,
060015811510,2015,6,060015811510,600158,99,99,99,99,,,,,,
060015811511,2015,6,060015811511,600158,99,99,99,99,,,,,,
060015811512,2015,6,060015811512,600158,99,99,99,99,,,,,,
060015811513,2015,6,060015811513,600158,99,99,99,99,,,,,,
060015811515,2015,6,060015811515,600158,99,99,99,99,,,,,,
