crdc_id,year,fips,ncessch,leaid,race,sex,disability,lep,students_AP_exam_none,students_AP_pass_none,students_AP_exam_oneormore,students_AP_pass_oneormore,students_AP_exam_all,students_AP_pass_all
130002603487,2015,13,130002603487,1300026,99,99,99,99,,,,,,
130002603488,2015,13,130002603488,1300026,99,99,99,99,,,,,,
130002603490,2015,13,130002603490,1300026,99,99,99,99,,,,,,
130002603492,2015,13,130002603492,1300026,99,99,99,99,,,,,,
130002603496,2015,13,130002603496,1300026,99,99,99,99,,,,,,
130002603498,2015,13,130002603498,1300026,99,99,99,99,,,,,,
130002603500,2015,13,130002603500,1300026,99,99,99,99,,,,,,
130002603501,2015,13,130002603501,1300026,99,99,99,99,,,,,,
130002603503,2015,13,130002603503,1300026,99,99,99,99,,,,,,
130002603504,2015,13,130002603504,1300026,99,99,99,99,,,,,,
130002603505,2015,13,130002603505,1300026,99,99,99,99,,,,,,
130002603506,2015,13,130002603506,1300026,99,99,99,99,,,,,,
130002603509,2015,13,130002603509,1300026,99,99,99,99,,,,,,
130002603510,2015,13,130002603510,1300026,99,99,99,99,,,,,,
130002603511,2015,13,130002603511,1300026,99,99,99,99,,,,,,
130002603512,2015,13,130002603512,1300026,99,99,99,99,,,,,,
130002603513,2015,13,130002603513,1300026,99,99,99,99,,,,,,
130002603514,2015,13,130002603514,1300026,99,99,99,99,,,,,,
130002603515,2015,13,130002603515,1300026,99,99,99,99,,,,,,
130002603517,2015,13,130002603517,1300026,99,99,99,99,,,,,,
130002603518,2015,13,130002603518,1300026,99,99,99,99,,,,,,
130002603650,2015,13,130002603650,1300026,99,99,99,99,,,,,,
130002603806,2015,13,130002603806,1300026,99,99,99,99,,,,,,
130002604089,2015,13,130002604089,1300026,99,99,99,99,,,,,,
130002604141,2015,13,130002604141,1300026,99,99,99,99,,,,,,
130002604194,2015,13,130002604194,1300026,99,99,99,99,,,,,,
130021000158,2015,13,130021000158,1300210,99,99,99,99,0.0,46.0,67.0,12.0,,
130021000224,2015,13,130021000224,1300210,99,99,99,99,,,,,,
130021000781,2015,13,130021000781,1300210,99,99,99,99,,,,,,
130021002291,2015,13,130021002291,1300210,99,99,99,99,,,,,,
130021002347,2015,13,130021002347,1300210,99,99,99,99,,,,,,
130021003283,2015,13,130021003283,1300210,99,99,99,99,,,,,,
130036000190,2015,13,130036000190,1300360,99,99,99,99,,,,,,
130036000931,2015,13,130036000931,1300360,99,99,99,99,100.0,8.0,19.0,4.0,,
130036002148,2015,13,130036002148,1300360,99,99,99,99,,,,,,
130036002149,2015,13,130036002149,1300360,99,99,99,99,,,,,,
130044000253,2015,13,130044000253,1300440,99,99,99,99,0.0,23.0,55.0,23.0,,
130044000254,2015,13,130044000254,1300440,99,99,99,99,,,,,,
130044000256,2015,13,130044000256,1300440,99,99,99,99,,,,,,
130044001920,2015,13,130044001920,1300440,99,99,99,99,,,,,,
130044004162,2015,13,130044004162,1300440,99,99,99,99,,,,,,
130066000293,2015,13,130066000293,1300660,99,99,99,99,,,,,,
130066001990,2015,13,130066001990,1300660,99,99,99,99,,,,,,
130066001991,2015,13,130066001991,1300660,99,99,99,99,0.0,88.0,95.0,4.0,,
130066001992,2015,13,130066001992,1300660,99,99,99,99,,,,,,
130066002817,2015,13,130066002817,1300660,99,99,99,99,,,,,,
130078000236,2015,13,130078000236,1300780,99,99,99,99,,,,,,
130078000237,2015,13,130078000237,1300780,99,99,99,99,,,,,,
130078000313,2015,13,130078000313,1300780,99,99,99,99,,,,,,
130078000315,2015,13,130078000315,1300780,99,99,99,99,281.0,152.0,432.0,271.0,,
130078000791,2015,13,130078000791,1300780,99,99,99,99,,,,,,
130078000794,2015,13,130078000794,1300780,99,99,99,99,,,,,,
130078001875,2015,13,130078001875,1300780,99,99,99,99,,,,,,
130078001941,2015,13,130078001941,1300780,99,99,99,99,,,,,,
130078001969,2015,13,130078001969,1300780,99,99,99,99,,,,,,
130078002063,2015,13,130078002063,1300780,99,99,99,99,,,,,,
130078002355,2015,13,130078002355,1300780,99,99,99,99,,,,,,
130078003299,2015,13,130078003299,1300780,99,99,99,99,,,,,,
130102000238,2015,13,130102000238,1301020,99,99,99,99,,,,,,
130102000362,2015,13,130102000362,1301020,99,99,99,99,,,,,,
130102000363,2015,13,130102000363,1301020,99,99,99,99,,,,,,
130102000364,2015,13,130102000364,1301020,99,99,99,99,,,,,,
130102000365,2015,13,130102000365,1301020,99,99,99,99,,,,,,
130102000366,2015,13,130102000366,1301020,99,99,99,99,,,,,,
130102000369,2015,13,130102000369,1301020,99,99,99,99,,,,,,
130102000370,2015,13,130102000370,1301020,99,99,99,99,,,,,,
130102000373,2015,13,130102000373,1301020,99,99,99,99,,,,,,
130102000374,2015,13,130102000374,1301020,99,99,99,99,,,,,,
130102000375,2015,13,130102000375,1301020,99,99,99,99,,,,,,
130102000376,2015,13,130102000376,1301020,99,99,99,99,27.0,41.0,49.0,,,
130102000377,2015,13,130102000377,1301020,99,99,99,99,,,,,,
130102000381,2015,13,130102000381,1301020,99,99,99,99,,,,,,
130102000382,2015,13,130102000382,1301020,99,99,99,99,31.0,64.0,82.0,4.0,,
130102000385,2015,13,130102000385,1301020,99,99,99,99,,,,,,
130102000386,2015,13,130102000386,1301020,99,99,99,99,,,,,,
130102000387,2015,13,130102000387,1301020,99,99,99,99,,,,,,
130102000388,2015,13,130102000388,1301020,99,99,99,99,16.0,70.0,154.0,80.0,,
130102000389,2015,13,130102000389,1301020,99,99,99,99,,,,,,
130102000392,2015,13,130102000392,1301020,99,99,99,99,,,,,,
130102000393,2015,13,130102000393,1301020,99,99,99,99,,,,,,
130102000394,2015,13,130102000394,1301020,99,99,99,99,,,,,,
130102000396,2015,13,130102000396,1301020,99,99,99,99,,,,,,
130102000400,2015,13,130102000400,1301020,99,99,99,99,,,,,,
130102000401,2015,13,130102000401,1301020,99,99,99,99,,,,,,
130102000402,2015,13,130102000402,1301020,99,99,99,99,,,,,,
130102000403,2015,13,130102000403,1301020,99,99,99,99,,,,,,
130102000409,2015,13,130102000409,1301020,99,99,99,99,,,,,,
130102000410,2015,13,130102000410,1301020,99,99,99,99,,,,,,
130102000411,2015,13,130102000411,1301020,99,99,99,99,,,,,,
130102000413,2015,13,130102000413,1301020,99,99,99,99,4.0,,6.0,,,
130102000415,2015,13,130102000415,1301020,99,99,99,99,22.0,21.0,50.0,15.0,,
130102001419,2015,13,130102001419,1301020,99,99,99,99,,,,,,
130102002019,2015,13,130102002019,1301020,99,99,99,99,,,,,,
130102002054,2015,13,130102002054,1301020,99,99,99,99,,,,,,
130102002099,2015,13,130102002099,1301020,99,99,99,99,,,,,,
130102002152,2015,13,130102002152,1301020,99,99,99,99,,,,,,
130102002242,2015,13,130102002242,1301020,99,99,99,99,,,,,,
130102002243,2015,13,130102002243,1301020,99,99,99,99,,,,,,
130102002245,2015,13,130102002245,1301020,99,99,99,99,11.0,149.0,459.0,301.0,,
130102002301,2015,13,130102002301,1301020,99,99,99,99,,,,,,
130102002302,2015,13,130102002302,1301020,99,99,99,99,,,,,,
130102002303,2015,13,130102002303,1301020,99,99,99,99,,,,,,
130102003772,2015,13,130102003772,1301020,99,99,99,99,,,,,,
130102003941,2015,13,130102003941,1301020,99,99,99,99,7.0,35.0,31.0,,,
130102003972,2015,13,130102003972,1301020,99,99,99,99,,,,,,
130102003975,2015,13,130102003975,1301020,99,99,99,99,,,,,,
130102003978,2015,13,130102003978,1301020,99,99,99,99,24.0,146.0,223.0,70.0,,
130102004044,2015,13,130102004044,1301020,99,99,99,99,43.0,11.0,26.0,4.0,,
130102004088,2015,13,130102004088,1301020,99,99,99,99,6.0,70.0,94.0,11.0,,
130102004117,2015,13,130102004117,1301020,99,99,99,99,,,,,,
130102004135,2015,13,130102004135,1301020,99,99,99,99,,,,,,
130102004185,2015,13,130102004185,1301020,99,99,99,99,,,,,,
130102004196,2015,13,130102004196,1301020,99,99,99,99,,,,,,
130108000417,2015,13,130108000417,1301080,99,99,99,99,,,,,,
130108000418,2015,13,130108000418,1301080,99,99,99,99,62.0,50.0,58.0,4.0,,
130108000421,2015,13,130108000421,1301080,99,99,99,99,,,,,,
130108000422,2015,13,130108000422,1301080,99,99,99,99,,,,,,
130108003307,2015,13,130108003307,1301080,99,99,99,99,,,,,,
130108003571,2015,13,130108003571,1301080,99,99,99,99,,,,,,
130117000443,2015,13,130117000443,1301170,99,99,99,99,,,,,,
130117000444,2015,13,130117000444,1301170,99,99,99,99,,,,,,
130117000445,2015,13,130117000445,1301170,99,99,99,99,,,,,,
130117000446,2015,13,130117000446,1301170,99,99,99,99,,,,,,
130117000447,2015,13,130117000447,1301170,99,99,99,99,,,,,,
