crdc_id,year,ncessch,fips,leaid,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion
060001109064,2015,60001109064,6,600011,-2,-2,-2,-2,-2
060001109065,2015,60001109065,6,600011,0,0,0,0,0
060001109066,2015,60001109066,6,600011,0,0,0,0,0
060001109068,2015,60001109068,6,600011,0,0,0,0,0
060001111292,2015,60001111292,6,600011,-2,-2,-2,-2,-2
060001112763,2015,60001112763,6,600011,0,0,0,0,0
060001403904,2015,60001403904,6,600014,0,0,0,0,0
060001405093,2015,60001405093,6,600014,0,0,0,0,0
060001407287,2015,60001407287,6,600014,0,0,0,0,0
060001407295,2015,60001407295,6,600014,0,0,0,0,0
060001408296,2015,60001408296,6,600014,0,0,0,0,0
060001409072,2015,60001409072,6,600014,0,0,0,0,0
060001409073,2015,60001409073,6,600014,0,0,0,0,0
060001409074,2015,60001409074,6,600014,0,0,0,0,0
060001409075,2015,60001409075,6,600014,0,0,0,0,0
060001409076,2015,60001409076,6,600014,0,0,0,0,0
060001409077,2015,60001409077,6,600014,0,0,0,0,0
060001409078,2015,60001409078,6,600014,0,0,0,0,0
060001409079,2015,60001409079,6,600014,0,0,0,0,0
060001409080,2015,60001409080,6,600014,0,0,0,0,0
060001409081,2015,60001409081,6,600014,0,0,0,0,0
060001409082,2015,60001409082,6,600014,0,0,0,0,0
060001409476,2015,60001409476,6,600014,0,0,0,0,0
060001409477,2015,60001409477,6,600014,0,0,0,0,0
060001409676,2015,60001409676,6,600014,0,0,0,0,0
060001411118,2015,60001411118,6,600014,0,0,0,0,0
060001411119,2015,60001411119,6,600014,0,0,0,0,0
060001411746,2015,60001411746,6,600014,0,0,0,0,0
060001411899,2015,60001411899,6,600014,0,0,0,0,0
060001412100,2015,60001412100,6,600014,0,0,0,0,0
060001412103,2015,60001412103,6,600014,0,0,0,0,0
060001412171,2015,60001412171,6,600014,0,0,0,0,0
060001412333,2015,60001412333,6,600014,0,0,0,0,0
060001412375,2015,60001412375,6,600014,0,0,0,0,0
060001412415,2015,60001412415,6,600014,0,0,0,0,0
060001412417,2015,60001412417,6,600014,0,0,0,0,0
060001809106,2015,60001809106,6,600018,0,0,0,0,0
060001809107,2015,60001809107,6,600018,0,0,0,0,0
060001809108,2015,60001809108,6,600018,0,0,0,0,0
060001809109,2015,60001809109,6,600018,-2,-2,-2,-2,-2
060002803647,2015,60002803647,6,600028,5,0,0,0,0
060002803648,2015,60002803648,6,600028,0,0,0,0,0
060002805012,2015,60002805012,6,600028,0,0,0,0,0
060002806276,2015,60002806276,6,600028,0,0,0,0,0
060002807222,2015,60002807222,6,600028,0,0,0,0,0
060002807223,2015,60002807223,6,600028,0,0,0,0,0
060002808270,2015,60002808270,6,600028,0,0,0,0,0
060002808271,2015,60002808271,6,600028,0,0,0,0,0
060002808272,2015,60002808272,6,600028,1,0,0,0,0
060002809499,2015,60002809499,6,600028,16,0,1,0,0
060002809500,2015,60002809500,6,600028,1,0,0,0,0
060002809501,2015,60002809501,6,600028,0,0,0,0,0
060002809502,2015,60002809502,6,600028,0,0,0,0,0
060002809503,2015,60002809503,6,600028,0,0,0,0,0
060002809505,2015,60002809505,6,600028,1,0,0,0,0
060002809506,2015,60002809506,6,600028,0,0,0,0,0
060002809684,2015,60002809684,6,600028,0,0,0,0,0
060002810282,2015,60002810282,6,600028,0,0,0,0,0
060002810353,2015,60002810353,6,600028,0,0,0,0,0
060002810589,2015,60002810589,6,600028,0,0,0,0,0
060002811038,2015,60002811038,6,600028,3,2,0,2,0
060002811039,2015,60002811039,6,600028,0,1,0,0,0
060002811040,2015,60002811040,6,600028,0,0,0,0,0
060002811041,2015,60002811041,6,600028,0,0,0,0,0
060002811042,2015,60002811042,6,600028,0,0,0,0,0
060002811043,2015,60002811043,6,600028,0,0,0,0,0
060002811170,2015,60002811170,6,600028,0,0,0,0,0
060002811187,2015,60002811187,6,600028,0,0,0,0,0
060002811838,2015,60002811838,6,600028,0,0,0,0,0
060005201475,2015,60005201475,6,600052,0,0,0,0,0
060005201476,2015,60005201476,6,600052,0,0,0,0,0
060005201477,2015,60005201477,6,600052,0,0,0,0,0
060005201479,2015,60005201479,6,600052,0,0,0,0,0
060005201481,2015,60005201481,6,600052,0,0,0,0,0
060005201484,2015,60005201484,6,600052,0,0,0,0,0
060005201487,2015,60005201487,6,600052,0,0,0,0,0
060005213158,2015,60005213158,6,600052,0,0,0,0,0
060006807312,2015,60006807312,6,600068,0,0,0,0,0
060006808144,2015,60006808144,6,600068,0,0,0,0,0
060006810542,2015,60006810542,6,600068,1,3,0,1,0
060006810543,2015,60006810543,6,600068,2,0,0,0,0
060006811680,2015,60006811680,6,600068,0,0,0,0,0
060006811681,2015,60006811681,6,600068,0,0,0,0,0
060006811682,2015,60006811682,6,600068,0,0,0,0,0
060006811949,2015,60006811949,6,600068,0,0,0,0,0
060006812658,2015,60006812658,6,600068,0,0,0,0,0
060015811503,2015,60015811503,6,600158,0,0,0,0,0
060015811504,2015,60015811504,6,600158,0,0,0,0,0
060015811505,2015,60015811505,6,600158,0,0,0,0,0
060015811506,2015,60015811506,6,600158,0,0,0,0,0
060015811508,2015,60015811508,6,600158,0,0,0,0,0
060015811509,2015,60015811509,6,600158,0,0,0,0,0
060015811510,2015,60015811510,6,600158,0,0,0,0,0
060015811511,2015,60015811511,6,600158,0,0,0,0,0
060015811512,2015,60015811512,6,600158,0,0,0,0,0
060015811513,2015,60015811513,6,600158,0,0,0,0,0
060015811515,2015,60015811515,6,600158,0,0,0,0,0
060015811516,2015,60015811516,6,600158,0,0,0,0,0
060015811816,2015,60015811816,6,600158,0,0,0,0,0
060015812175,2015,60015812175,6,600158,0,0,0,0,0
060015812929,2015,60015812929,6,600158,0,0,0,0,0
060015813826,2015,60015813826,6,600158,0,0,0,0,0
060015901473,2015,60015901473,6,600159,0,0,0,0,0
060015901474,2015,60015901474,6,600159,0,0,0,0,0
060015901615,2015,60015901615,6,600159,0,0,0,0,0
060015904089,2015,60015904089,6,600159,0,0,0,0,0
060015908834,2015,60015908834,6,600159,0,0,0,0,0
060015910426,2015,60015910426,6,600159,0,0,0,0,0
060015910677,2015,60015910677,6,600159,0,0,0,0,0
060133902076,2015,60133902076,6,601339,0,0,0,0,0
060133902078,2015,60133902078,6,601339,0,0,0,0,0
060133910219,2015,60133910219,6,601339,0,0,0,0,0
060261000148,2015,60261000148,6,602610,0,0,0,0,0
060261000149,2015,60261000149,6,602610,0,0,0,0,0
060261000150,2015,60261000150,6,602610,0,0,0,0,0
060261000151,2015,60261000151,6,602610,0,0,0,0,0
060261000152,2015,60261000152,6,602610,0,0,0,0,0
060261000153,2015,60261000153,6,602610,0,0,0,0,0
060261000154,2015,60261000154,6,602610,0,0,0,0,0
060261000155,2015,60261000155,6,602610,0,0,0,0,0
060261000157,2015,60261000157,6,602610,0,0,1,0,0
060261000158,2015,60261000158,6,602610,0,0,0,0,0
060261000159,2015,60261000159,6,602610,0,0,0,0,0
060261000160,2015,60261000160,6,602610,0,1,0,0,0
060261000161,2015,60261000161,6,602610,0,0,0,0,0
060261000162,2015,60261000162,6,602610,0,0,0,0,0
060261000163,2015,60261000163,6,602610,0,0,0,0,0
060261000164,2015,60261000164,6,602610,0,0,0,0,0
060261000165,2015,60261000165,6,602610,0,0,0,0,0
060261000166,2015,60261000166,6,602610,0,0,0,0,0
060261000167,2015,60261000167,6,602610,0,0,0,0,0
060261000168,2015,60261000168,6,602610,0,0,0,0,0
060261006092,2015,60261006092,6,602610,0,0,0,0,0
060261008240,2015,60261008240,6,602610,0,1,0,0,0
060261011958,2015,60261011958,6,602610,0,0,0,0,0
060261012518,2015,60261012518,6,602610,0,0,0,0,0
060474000431,2015,60474000431,6,604740,0,0,0,0,0
060474000432,2015,60474000432,6,604740,0,0,0,0,0
060474000436,2015,60474000436,6,604740,0,0,0,0,0
060474000441,2015,60474000441,6,604740,0,0,0,0,0
060474000443,2015,60474000443,6,604740,0,0,0,0,0
060474000445,2015,60474000445,6,604740,0,0,0,0,0
060474000446,2015,60474000446,6,604740,0,0,0,0,0
060474000447,2015,60474000447,6,604740,0,0,0,0,0
060474000448,2015,60474000448,6,604740,0,0,0,0,0
060474000450,2015,60474000450,6,604740,0,0,0,0,0
060474000452,2015,60474000452,6,604740,0,0,0,0,0
060474006865,2015,60474006865,6,604740,0,0,0,0,0
060474006895,2015,60474006895,6,604740,0,0,0,0,0
060474007267,2015,60474007267,6,604740,0,0,0,0,0
060474008119,2015,60474008119,6,604740,0,0,0,0,0
060474011300,2015,60474011300,6,604740,0,0,0,0,0
060681000603,2015,60681000603,6,606810,0,0,1,0,0
060681000604,2015,60681000604,6,606810,0,0,0,0,0
060681000606,2015,60681000606,6,606810,0,0,0,0,0
060681000607,2015,60681000607,6,606810,0,0,0,0,0
060681000608,2015,60681000608,6,606810,0,1,0,0,0
060681000609,2015,60681000609,6,606810,0,0,0,0,0
060681000612,2015,60681000612,6,606810,0,0,0,0,0
060681000613,2015,60681000613,6,606810,0,0,0,0,0
060681000614,2015,60681000614,6,606810,0,0,0,0,0
060681000615,2015,60681000615,6,606810,1,0,0,0,0
060681000616,2015,60681000616,6,606810,0,0,0,0,0
060681000617,2015,60681000617,6,606810,0,0,0,0,0
060681000618,2015,60681000618,6,606810,0,0,0,0,0
060681000619,2015,60681000619,6,606810,0,0,0,0,0
060681000620,2015,60681000620,6,606810,0,0,0,0,0
060681000621,2015,60681000621,6,606810,0,0,0,0,0
060681000622,2015,60681000622,6,606810,0,0,0,0,0
060681000623,2015,60681000623,6,606810,0,0,0,0,0
060681000624,2015,60681000624,6,606810,0,0,0,0,0
060681001165,2015,60681001165,6,606810,0,0,0,0,0
060681003925,2015,60681003925,6,606810,0,0,0,0,0
060681005234,2015,60681005234,6,606810,2,2,0,0,0
060681007655,2015,60681007655,6,606810,0,0,0,0,0
060681008589,2015,60681008589,6,606810,0,0,0,0,0
060681008590,2015,60681008590,6,606810,0,0,0,0,0
060681008802,2015,60681008802,6,606810,0,0,0,0,0
060681011751,2015,60681011751,6,606810,0,1,1,0,0
060681011752,2015,60681011752,6,606810,-2,-2,-2,-2,-2
060744000685,2015,60744000685,6,607440,0,0,0,0,0
060744000686,2015,60744000686,6,607440,0,0,0,0,0
060744000687,2015,60744000687,6,607440,0,0,0,0,0
060744000688,2015,60744000688,6,607440,0,0,0,0,0
060744000689,2015,60744000689,6,607440,2,3,0,0,0
060744000690,2015,60744000690,6,607440,0,0,0,0,0
060744000691,2015,60744000691,6,607440,0,0,0,0,0
060744000692,2015,60744000692,6,607440,0,0,0,0,0
060744000693,2015,60744000693,6,607440,0,0,0,0,0
060744000694,2015,60744000694,6,607440,0,0,1,0,0
060744000695,2015,60744000695,6,607440,0,0,0,0,0
060744000696,2015,60744000696,6,607440,6,3,0,0,0
060744000698,2015,60744000698,6,607440,0,0,0,0,0
