crdc_id,year,ncessch,fips,leaid,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion
130002603487,2015,130002603487,13,1300026,0,0,0,0,0
130002603488,2015,130002603488,13,1300026,2,0,0,0,0
130002603490,2015,130002603490,13,1300026,0,0,0,0,0
130002603492,2015,130002603492,13,1300026,2,0,0,0,0
130002603496,2015,130002603496,13,1300026,0,0,0,0,0
130002603498,2015,130002603498,13,1300026,0,0,0,0,0
130002603500,2015,130002603500,13,1300026,0,0,0,0,0
130002603501,2015,130002603501,13,1300026,0,0,0,0,0
130002603503,2015,130002603503,13,1300026,0,0,0,0,0
130002603504,2015,130002603504,13,1300026,0,0,0,0,0
130002603505,2015,130002603505,13,1300026,0,0,0,0,0
130002603506,2015,130002603506,13,1300026,0,0,0,0,0
130002603509,2015,130002603509,13,1300026,0,0,0,0,0
130002603510,2015,130002603510,13,1300026,0,0,0,0,0
130002603511,2015,130002603511,13,1300026,0,0,0,0,0
130002603512,2015,130002603512,13,1300026,0,0,0,0,0
130002603513,2015,130002603513,13,1300026,0,0,0,0,0
130002603514,2015,130002603514,13,1300026,0,0,0,0,0
130002603515,2015,130002603515,13,1300026,0,0,0,0,0
130002603517,2015,130002603517,13,1300026,1,0,0,0,0
130002603518,2015,130002603518,13,1300026,0,0,0,0,0
130002603650,2015,130002603650,13,1300026,0,0,0,0,0
130002603806,2015,130002603806,13,1300026,1,0,0,0,0
130002604089,2015,130002604089,13,1300026,0,0,0,0,0
130002604141,2015,130002604141,13,1300026,0,0,0,0,0
130002604194,2015,130002604194,13,1300026,0,0,0,0,0
130021000158,2015,130021000158,13,1300210,0,0,0,0,0
130021000224,2015,130021000224,13,1300210,0,0,0,0,0
130021000781,2015,130021000781,13,1300210,0,0,0,0,0
130021002291,2015,130021002291,13,1300210,0,0,0,0,0
130021002347,2015,130021002347,13,1300210,3,0,0,3,0
130021003283,2015,130021003283,13,1300210,0,0,0,0,0
130036000190,2015,130036000190,13,1300360,0,0,0,0,0
130036000931,2015,130036000931,13,1300360,0,0,0,0,0
130036002148,2015,130036002148,13,1300360,0,0,0,0,0
130036002149,2015,130036002149,13,1300360,4,1,3,2,1
130044000253,2015,130044000253,13,1300440,0,0,0,0,0
130044000254,2015,130044000254,13,1300440,0,0,0,0,0
130044000256,2015,130044000256,13,1300440,0,0,0,0,0
130044001920,2015,130044001920,13,1300440,0,0,0,0,0
130044004162,2015,130044004162,13,1300440,0,0,0,0,0
130066000293,2015,130066000293,13,1300660,0,0,0,0,0
130066001990,2015,130066001990,13,1300660,0,0,0,0,0
130066001991,2015,130066001991,13,1300660,0,0,0,0,0
130066001992,2015,130066001992,13,1300660,0,0,0,0,0
130066002817,2015,130066002817,13,1300660,2,0,0,2,0
130078000236,2015,130078000236,13,1300780,0,0,0,4,0
130078000237,2015,130078000237,13,1300780,0,0,0,0,0
130078000313,2015,130078000313,13,1300780,2,2,0,0,0
130078000315,2015,130078000315,13,1300780,5,0,0,0,0
130078000791,2015,130078000791,13,1300780,0,0,0,0,0
130078000794,2015,130078000794,13,1300780,1,0,0,0,0
130078001875,2015,130078001875,13,1300780,8,6,0,3,1
130078001941,2015,130078001941,13,1300780,0,0,0,0,0
130078001969,2015,130078001969,13,1300780,0,0,0,0,0
130078002063,2015,130078002063,13,1300780,0,0,0,0,0
130078002355,2015,130078002355,13,1300780,0,0,0,0,0
130078003299,2015,130078003299,13,1300780,0,0,0,0,0
130102000238,2015,130102000238,13,1301020,0,0,0,0,0
130102000362,2015,130102000362,13,1301020,0,0,0,0,0
130102000363,2015,130102000363,13,1301020,0,0,0,0,0
130102000364,2015,130102000364,13,1301020,0,0,0,0,0
130102000365,2015,130102000365,13,1301020,0,0,0,0,0
130102000366,2015,130102000366,13,1301020,0,0,0,0,0
130102000369,2015,130102000369,13,1301020,0,0,0,0,0
130102000370,2015,130102000370,13,1301020,0,0,0,0,0
130102000373,2015,130102000373,13,1301020,0,0,0,0,0
130102000374,2015,130102000374,13,1301020,0,0,0,0,0
130102000375,2015,130102000375,13,1301020,0,0,0,0,0
130102000376,2015,130102000376,13,1301020,0,0,0,0,0
130102000377,2015,130102000377,13,1301020,0,0,0,0,0
130102000381,2015,130102000381,13,1301020,0,0,0,0,0
130102000382,2015,130102000382,13,1301020,0,0,0,0,0
130102000385,2015,130102000385,13,1301020,0,0,0,0,0
130102000386,2015,130102000386,13,1301020,0,0,0,0,0
130102000387,2015,130102000387,13,1301020,0,0,0,0,0
130102000388,2015,130102000388,13,1301020,0,0,0,0,0
130102000389,2015,130102000389,13,1301020,0,0,0,0,0
130102000392,2015,130102000392,13,1301020,0,0,0,0,0
130102000393,2015,130102000393,13,1301020,0,0,0,0,0
130102000394,2015,130102000394,13,1301020,0,0,0,0,0
130102000396,2015,130102000396,13,1301020,0,0,0,0,0
130102000400,2015,130102000400,13,1301020,0,0,0,0,0
130102000401,2015,130102000401,13,1301020,0,0,0,0,0
130102000402,2015,130102000402,13,1301020,0,0,0,0,0
130102000403,2015,130102000403,13,1301020,0,0,0,0,0
130102000409,2015,130102000409,13,1301020,0,0,0,0,0
130102000410,2015,130102000410,13,1301020,0,0,0,0,0
130102000411,2015,130102000411,13,1301020,0,0,0,0,0
130102000413,2015,130102000413,13,1301020,0,0,0,0,0
130102000415,2015,130102000415,13,1301020,0,0,0,0,0
130102001419,2015,130102001419,13,1301020,0,0,0,0,0
130102002019,2015,130102002019,13,1301020,0,0,0,0,0
130102002054,2015,130102002054,13,1301020,0,0,0,0,0
130102002099,2015,130102002099,13,1301020,0,0,0,0,0
130102002152,2015,130102002152,13,1301020,0,0,0,0,0
130102002242,2015,130102002242,13,1301020,0,0,0,0,0
130102002243,2015,130102002243,13,1301020,0,0,0,0,0
130102002245,2015,130102002245,13,1301020,0,0,0,0,0
130102002301,2015,130102002301,13,1301020,0,0,0,0,0
130102002302,2015,130102002302,13,1301020,0,0,0,0,0
130102002303,2015,130102002303,13,1301020,0,0,0,0,0
130102003772,2015,130102003772,13,1301020,0,0,0,0,0
130102003941,2015,130102003941,13,1301020,0,0,0,0,0
130102003972,2015,130102003972,13,1301020,0,0,0,0,0
130102003975,2015,130102003975,13,1301020,0,0,0,0,0
130102003978,2015,130102003978,13,1301020,0,0,0,0,0
130102004044,2015,130102004044,13,1301020,0,0,0,0,0
130102004088,2015,130102004088,13,1301020,0,0,0,0,0
130102004117,2015,130102004117,13,1301020,0,0,0,0,0
130102004135,2015,130102004135,13,1301020,0,0,0,0,0
130102004185,2015,130102004185,13,1301020,0,0,0,0,0
130102004196,2015,130102004196,13,1301020,0,0,0,0,0
130108000417,2015,130108000417,13,1301080,0,0,0,0,0
130108000418,2015,130108000418,13,1301080,0,0,0,0,0
130108000421,2015,130108000421,13,1301080,0,0,0,0,0
130108000422,2015,130108000422,13,1301080,1,0,0,0,0
130108003307,2015,130108003307,13,1301080,0,0,0,0,0
130108003571,2015,130108003571,13,1301080,0,0,0,0,0
130117000443,2015,130117000443,13,1301170,2,0,1,0,0
130117000444,2015,130117000444,13,1301170,0,0,0,0,0
130117000445,2015,130117000445,13,1301170,0,0,0,0,0
130117000446,2015,130117000446,13,1301170,0,0,0,0,0
130117000447,2015,130117000447,13,1301170,0,0,0,0,0
130117000449,2015,130117000449,13,1301170,2,0,0,0,0
130117000450,2015,130117000450,13,1301170,0,0,0,0,0
130117000451,2015,130117000451,13,1301170,0,0,0,0,0
130117000452,2015,130117000452,13,1301170,0,0,0,0,0
130117000453,2015,130117000453,13,1301170,3,0,0,0,0
130117000454,2015,130117000454,13,1301170,0,0,0,0,0
130117000455,2015,130117000455,13,1301170,0,0,0,0,0
130117000456,2015,130117000456,13,1301170,0,0,0,0,0
130117000457,2015,130117000457,13,1301170,0,0,0,0,0
130117000458,2015,130117000458,13,1301170,0,0,0,0,0
130117001106,2015,130117001106,13,1301170,0,0,0,0,0
130117002102,2015,130117002102,13,1301170,0,0,0,0,0
130117002103,2015,130117002103,13,1301170,0,0,0,0,0
130117002104,2015,130117002104,13,1301170,0,0,0,0,0
130117002831,2015,130117002831,13,1301170,0,0,0,0,0
130117003905,2015,130117003905,13,1301170,0,0,0,0,0
130123000461,2015,130123000461,13,1301230,0,0,0,0,0
130123000462,2015,130123000462,13,1301230,0,0,0,0,0
130123000463,2015,130123000463,13,1301230,4,0,0,0,0
130123000464,2015,130123000464,13,1301230,0,0,0,0,0
130123000465,2015,130123000465,13,1301230,1,0,0,0,0
130123000466,2015,130123000466,13,1301230,0,0,0,0,0
130123000467,2015,130123000467,13,1301230,0,1,0,0,0
130123000469,2015,130123000469,13,1301230,0,0,0,0,0
130123000470,2015,130123000470,13,1301230,0,0,0,0,0
130123000471,2015,130123000471,13,1301230,0,1,0,0,0
130123000472,2015,130123000472,13,1301230,0,0,0,0,0
130123000473,2015,130123000473,13,1301230,0,0,0,0,0
130123000474,2015,130123000474,13,1301230,0,0,0,0,0
